City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
145,Catuday,PH,16.2923,119.8062,82.99,64,33,6.73,scattered clouds,2021-03-15 03:27:01
146,Blatna,CZ,49.4249,13.8818,34.0,99,44,1.99,scattered clouds,2021-03-15 03:35:14
147,Seymchan,RU,62.8833,152.4333,2.46,74,4,5.73,clear sky,2021-03-15 03:35:15
148,Iqaluit,CA,63.7506,-68.5145,-16.01,69,75,23.02,snow,2021-03-15 03:25:15
149,Severo-Kurilsk,RU,50.6789,156.125,36.19,85,10,4.52,clear sky,2021-03-15 03:26:36
150,Hirara,JP,24.8,125.2833,75.2,60,20,11.5,few clouds,2021-03-15 03:26:50
151,Saint George,US,37.1041,-113.5841,55.0,40,1,3.44,clear sky,2021-03-15 03:35:16
152,Luderitz,NA,-26.6481,15.1594,63.59,79,0,18.34,clear sky,2021-03-15 03:35:01
153,Poum,NC,-20.2333,164.0167,79.83,70,2,4.43,clear sky,2021-03-15 03:25:41
154,Padampur,IN,29.6833,73.6167,74.91,31,26,1.59,scattered clouds,2021-03-15 03:27:48
